Stage,PMID,Primary_Category,FM_Named,Texture,Per_Arm,Modality
Stage 3,38858123,Non-medical or off-scope modality,PASS - RESNET50 PRE-TRAINED ON IMAGENET ,PASS - PYRADIOMICS SOFTWARE PA,PASS - SEPARATE DISCRIMINATION,FAIL - HUMAN TEMPORA
Stage 3,38935330,Fusion-only without arm-specific performance reporting,PASS - RESNET50 PRE-TRAINED ON IMAGENET ,PASS - PYRADIOMICS EXTRACTING ,FAIL - NO SEPARATE DISCRIMINAT,PASS - HUMAN PREOPER
Stage 3,38985382,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - CUSTOM 2D DENSENET TRAINED FROM S,FAIL - 3D SLICER SOFTWARE (NO ,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN ${}^{12
Stage 3,39125553,First-order radiomics only (no texture-feature family),PASS - MODELS GENESIS (SELF-SUPERVISED M,FAIL - NO APPROVED RADIOMICS S,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN MULTIPA
Stage 3,39144023,Fusion-only without arm-specific performance reporting, PASS - RESNET-101 AND VGG-19 PRE-TRAINE,PASS - PYRADIOMICS PACKAGE EXT,FAIL - NO SEPARATE DISCRIMINAT,PASS - HUMAN 18F-FDG
Stage 3,36376154,Fusion-only without arm-specific performance reporting,PASS - RESNET-101 AND VGG-19 PRE-TRAINED,PASS - PYRADIOMICS PACKAGE EXT,FAIL - STANDALONE DEEP LEARNIN,PASS - HUMAN 18F-FDG
Stage 3,37083973,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - A 3D RESNET MODEL PRETRAINED ONLY,FAIL - NO APPROVED RADIOMICS S,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN BRAIN M
Stage 3,37129296,First-order radiomics only (no texture-feature family),PASS - RESNET-50 AND EFFICIENTNET-B0 PRE,FAIL - NO APPROVED RADIOMICS S,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN BRAIN M
Stage 3,37148352,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - CUSTOM TRANSFORMER-BASED CONVOLUT,FAIL - NO STANDARD RADIOMICS P,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN CONTRAS
Stage 3,37448515,First-order radiomics only (no texture-feature family),PASS (WITH FLAGGING) - SWIN TRANSFORMER ,FAIL - PYRADIOMICS SOFTWARE PA,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN MULTIPA
Stage 3,37460894,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - 3D RES-NET-34 PRETRAINED ON TENCE,PASS - PYRADIOMICS (VERSION 3.,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN CONTRAS
Stage 3,35129757,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - CUSTOM MULTI-BRANCH DEEP CONVOLUT,PASS - PYRADIOMICS (VERSION 1.,PASS - SEPARATE VALIDATION SET,PASS - HUMAN GADOBEN
Stage 3,35571081,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - CUSTOM TWO-CHANNEL 3D CONVOLUTION,PASS - PYRADIOMICS (VERSION 3., PASS - SEPARATE VALIDATION SE, PASS - HUMAN 18F-FD
Stage 3,35834442,First-order radiomics only (no texture-feature family),PASS (WITH FLAGGING) - RESNET18 (PRETRAI,FAIL - MANUAL IMPLEMENTATION U,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN CHEST X
Stage 3,36212443,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - FIVE STANDARD CNN BACKBONES (RESN,PASS - PYRADIOMICS EXTRACTING ,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN CONTRAS
Stage 3,36686755,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),"FAIL - UCTRANSNET. IN SECTION 2.4 ""FEATU",PASS - PYRADIOMICS. IN SECTION,PASS - SEPARATE AUC METRICS AR,PASS - DCE-MRI AND 2
Stage 3,33596552,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),"FAIL - 3D U-NET.
IN SECTION 2.2.2 ""3D GG","PASS - PYRADIOMICS.
IN SECTION",PASS - SEPARATE DISCRIMINATION,PASS - COMPUTED TOMO
Stage 3,34517530,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - 3D-RESNET50 MODEL PRETRAINED ON T,PASS - PYRADIOMICS PACKAGE VER,PASS - SEPARATE DISCRIMINATION,PASS - T2-WEIGHTED M
