Sample_ID,Stratum,PMID,Title,AI_Verdict,Human_Verdict_PreFilled,Human_Verdict_NEW,AI_Reason,PubMed_URL
11,AI-EXCLUDE,41225984,"Machine Learning in MRI Brain Imaging: A Review of Methods, Challenges, and Futu",EXCLUDE,,EXCLUDE,Narrative review of ML methods in brain MRI — not an original peer-reviewed research article.,https://pubmed.ncbi.nlm.nih.gov/41225984
12,AI-EXCLUDE,38154327,Self-supervised tumor segmentation and prognosis prediction in osteosarcoma usin,EXCLUDE,,EXCLUDE,Self-supervised pretraining via MPFCLR on study's small unlabeled cohort (~136 patients) — not a >=100k-image pretrained,https://pubmed.ncbi.nlm.nih.gov/38154327
13,AI-EXCLUDE,37321358,A novel collaborative self-supervised learning method for radiomic data.,EXCLUDE,,EXCLUDE,Method-development paper proposing a novel SSL method for radiomic features; no head-to-head FM embedding vs handcrafted,https://pubmed.ncbi.nlm.nih.gov/37321358
14,AI-EXCLUDE,40883826,Fusion model integrating multi-sequence MRI radiomics and habitat imaging for pr,EXCLUDE,,EXCLUDE,"Fusion model integrating radiomics + deep learning + habitat features; abstract reports only fused model AUC, no head-to",https://pubmed.ncbi.nlm.nih.gov/40883826
15,AI-EXCLUDE,38293188,Automating the Human Connectome Project's Temporal ICA Pipeline.,EXCLUDE,,EXCLUDE,fMRI temporal ICA denoising pipeline development; not a clinical prediction task comparing FM embeddings vs handcrafted ,https://pubmed.ncbi.nlm.nih.gov/38293188
16,AI-MAYBE,39915711,Integrating manual annotation with deep transfer learning and radiomics for vert,MAYBE,INCLUDE,,"Reports separate radiomics LR and DTL arms on same cohort with AUCs, but pretrained foundation model identity not specif",https://pubmed.ncbi.nlm.nih.gov/39915711
17,AI-MAYBE,40360672,An MRI-based deep transfer learning radiomics nomogram for predicting meningioma,MAYBE,EXCLUDE,,"Reports separate radiomics, DTL, and clinical model performances but pretrained foundation model identity not specified ",https://pubmed.ncbi.nlm.nih.gov/40360672
18,AI-MAYBE,34817635,Computed tomography-based deep-learning prediction of induction chemotherapy tre,MAYBE,INCLUDE,,"Head-to-head ResNet50/CNN deep features (ImageNet transfer, low-tier FM) vs handcrafted radiomics with separate AUCs on ",https://pubmed.ncbi.nlm.nih.gov/34817635
19,AI-MAYBE,40882615,Deep Learning Radiomics Model Based on Computed Tomography Image for Predicting ,MAYBE,EXCLUDE,,Uses RadImageNet (qualifying FM) + ImageNet pretrained ResNet-50 fused with radiomics; abstract reports only fused model,https://pubmed.ncbi.nlm.nih.gov/40882615
20,AI-MAYBE,37129296,Novel radiomic features versus deep learning: differentiating brain metastases f,MAYBE,EXCLUDE,,"Clear head-to-head comparison of novel handcrafted radiomics (LoG, wavelet) vs EfficientNet/ResNet transfer learning (Im",https://pubmed.ncbi.nlm.nih.gov/37129296
21,AI-MAYBE,37993801,Exploring the efficacy of multi-flavored feature extraction with radiomics and d,MAYBE,EXCLUDE,,"Compares five feature sets (radiomics, deep, combined) using PyRadiomics + autoencoder on PROSTATEx-2 prostate cancer co",https://pubmed.ncbi.nlm.nih.gov/37993801
22,AI-MAYBE,38858123,[Deep transfer learning radiomics model based on temporal bone CT for assisting ,MAYBE,EXCLUDE,,"Reports separate radiomics (AUC 0.929), deep learning (0.947), and DLR fusion (0.964) arms on same temporal bone CT coho",https://pubmed.ncbi.nlm.nih.gov/38858123
23,AI-MAYBE,40217563,Novel CT radiomics models for the postoperative prediction of early recurrence o,MAYBE,INCLUDE,,"Reports separate clinical, radiomics (AUC 0.722), and deep-radiomics (0.895) models on same PDAC cohort, but 'deep-radio",https://pubmed.ncbi.nlm.nih.gov/40217563
24,AI-MAYBE,38939344,Multiparametric MRI-based radiomics approach with deep transfer learning for pre,MAYBE,INCLUDE,,"Reports separate RS-HC, RS-DTL (ResNet50, ImageNet transfer, low-tier FM), and RS-DLR AUCs on same SNSCC cohort.",https://pubmed.ncbi.nlm.nih.gov/38939344
25,AI-MAYBE,36376154,"Comparison of Traditional Radiomics, Deep Learning Radiomics and Fusion Methods ",MAYBE,EXCLUDE,,"Explicit comparison of traditional radiomics vs DL radiomics vs fusion models on same DCE-MRI breast cancer cohort, but ",https://pubmed.ncbi.nlm.nih.gov/36376154
