Order,PMID,Title,Year,AI_MAYBE_Reason,PubMed_URL,Full_Text_Verdict,Reason_Quote_From_Paper,FM_Named,Texture_Features,Per_Arm_Metrics,Modality_OK,Notes
11,38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Predict Ki-67 Proliferation Index of Meningioma.,2024,"Reports separate clinical (0.746), radiomics (0.75), DTL (0.717), and DTLR nomogram (0.779) AUCs, but generic 'deep transfer learning' â€” foundation model identity unspecified.",https://pubmed.ncbi.nlm.nih.gov/38343220,INCLUDE,,"PASS - ResNet50 pretrained on ImageNet (low-tier FM). Section ""DTL Feature Extraction"" (Page 3 of the PDF): ""The model we used was ResNet50 known as a classical pretrained CNN model. We fine-tuned the ResNet50 model with the max ROIs of training set and test set."" and Section ""Introduction"" (Page 2 of the PDF):","PASS - 3D Slicer (SlicerRadiomics / PyRadiomics backend) extracting GLCM and GLSZM features. Section ""Radiomics Feature Extraction"" (Page 3 of the PDF): ""The extraction of radiomics feature was conducted by radiomics in 3D slicer."" and Section ""Results"" (Page 4 of the PDF): ""Rad score was calculated by the formula:","PASS - Table 3 ""The results of clinical model, DTL model and DTLR nomogram"" (Page 5/6 of the PDF) reports separate metrics for the deep learning arm (DTL model) and the radiomics arm (Radiomics model) on the same 64-subject test cohort:","PASS - Modality: brain MRI (enhanced T1WI). Year: 2024. Section ""Patients"" (Page 2 of the PDF): ""Inclusion criteria were the following: (1) The magnetic resonance imaging (MRI) examination of enhanced T1 WI was performed 1 week before surgery... There were 318 patients who were enrolled in the study..."" and Title Page (Page 1 of the PDF): ""Journal of Imaging Informatics in Medicine (2024) 37:510-519... Published online: 10 January 2024.""","The study is included because it evaluates human brain MRI scans from 2024, extracts GLCM and GLSZM texture features using 3D Slicer's radiomics module, reports separate test performance metrics for both the deep transfer learning (ResNet50) and radiomics-only arms on the same cohort, and utilizes a qualifying low-tier foundation model (ResNet50 pretrained on ImageNet)."
12,38606087,Exploring deep learning radiomics for classifying osteoporotic vertebral fractures in X-ray images.,2024,"Uses RadImageNet (qualifying FM) + radiomics, but final models are DTL-radiomics fusion features; separate paradigm arms not clearly reported.",https://pubmed.ncbi.nlm.nih.gov/38606087,EXCLUDE,,"PASS - ResNet-50 pretrained on RadImageNet. Section ""Material and methods"" (Abstract, Page 1): ""The ResNet-50 architectural model was used to implement deep transfer learning (DTL), undergoing -pre-training separately on the RadImageNet and ImageNet datasets."" and Section ""Radiomics and DTL features extraction"" (Page 5): ""The initialization of the Backbone part used the pre-trained model parameters from RadImageNet (27) and ImageNet.""","FAIL - Unspecified radiomics package. Section ""Discussion"" (Page 10) mentions a texture feature: ""Notably, the Small Dependence Low Gray Level Emphasis (SDLGLE) feature has the highest correlation coefficient."" However, no radiomics package (such as PyRadiomics, MIRP, CERR, IBEX, LIFEx, or MaZda) is named in the text of the paper. Section ""Radiomics and DTL features extraction"" (Page 5) only states: ""The protocol for feature extraction adhered to the standards set by the Image Biomarker Standardization Initiative, as referenced in (24).""","FAIL - No separate metrics reported. Section ""Model construction and validation"" (Page 7): ""The validation results of the two sets of fused feature prediction models for the three-class classification task can be found in Table 3."" and ""Based on the RadImageNet dataset, the macro-averaged AUC for the training set, internal validation set, external validation set, and prospective validation set were all higher compared to the ImageNet dataset (0.913 vs 0.831, 0.926 vs 0.826, 0.940 vs 0.844, 0.913 vs 0.872)."" Only fused/integrated model metrics are reported","PASS - X-ray, 2024. Section ""Purpose"" (Page 1): ""To develop and validate a deep learning radiomics (DLR) model that uses X-ray images to predict the classification of osteoporotic vertebral fractures (OVFs)."" and Title Page (Page 1): ""Front Endocrinol. 15:1370838... Published 28 March 2024.""","The study is excluded because it does not report separate comparative performance metrics for the deep learning-only and radiomics-only arms on the same cohort (only evaluating integrated fusion models), and it fails to identify the specific radiomics package used for feature extraction."
13,39003228,Preoperative Contrast-Enhanced CT-Based Deep Learning Radiomics Model for Distinguishing Retroperitoneal Lipomas and Wellâ€‘Differentiated Liposarcomas.,2024,Reports separate radiomics signature AUC but DL arm is itself a DL-radiomics fusion (DLRS); pretrained foundation model identity unclear.,https://pubmed.ncbi.nlm.nih.gov/39003228,EXCLUDE,,"PASS - ResNet50 (ImageNet-supervised low-tier FM). Section ""DL Feature Extraction"" (Page 4): ""For DL-based feature extraction, we employed a ResNet50 network that was pre-trained on the ImageNet database for transfer learning."" Under the review protocol, standard ImageNet-supervised CNNs are classified as low-tier foundation models, satisfying this criterion.","PASS - PyRadiomics. Section ""Radiomics Feature Extraction"" (Page 4): ""For each patient, 1834 HCR features, including texture, intensity, shape, filter, and wavelet features, were obtained using the Python Pyradiomics module (version 3.0.1)."" and Figure 3(c) (Page 7) lists the final selected texture features: ""V_lbp-3d-m1 glcm_Imc1"" (GLCM family) and ""V_exponential_ngtdm_coarseness"" (NGTDM family).","FAIL - No separate deep learning-only arm metrics are reported. Table 4 ""Model Performances in the Training and External Validation Cohorts"" (Page 10) only reports metrics for the clinical model, the radiomics-only signature (RS), the deep learning and radiomics signature (DLRS - which is a fusion of both feature types), and the combined nomogram (DLRN) on the 63-subject validation test cohort:",": PASS - Contrast-enhanced computed tomography (CECT), 2024. Title Page (Page 1): ""Acad Radiol 2024; 31:5042-5053"" and Section ""Introduction"" (Page 2): ""Therefore, in this investigation, we constructed and explored the utility of a CECT-based DL radiomics nomogram as a preoperative and non-invasive biomarker...""","The study is excluded because it fails to report separate comparative performance metrics for a deep learning-only model on the test cohort, evaluating only a fused deep learning-radiomics signature (DLRS) alongside the radiomics signature (RS)."
14,39457657,A Transfer Learning-Based Framework for Classifying Lymph Node Metastasis in Prostate Cancer Patients.,2024,"Head-to-head pretrained ResNet-18 features (ImageNet transfer, low-tier FM, acc 76.19%) vs GLCM (61.90%) and Gabor (65.08%) texture features on same prostate LN MRI cohort.",https://pubmed.ncbi.nlm.nih.gov/39457657,EXCLUDE,,"PASS - ResNet-18 pretrained on ImageNet (low-tier FM). Section ""1. Introduction"" (Page 3): ""We utilized a CNN model, ResNet-18, which was pre-trained on ImageNet (a public dataset with a large volume of data) and then trans- ferred to our prostate image dataset to extract features.""  and Section ""2.1.2 ResNet-18 for Feature Extraction"" (Page 6): ""A 71-layer ResNet-18 model pre-trained on the ImageNet dataset was used to extract features from the raw scans.""  Standard ImageNet-supervised CNNs are classified as ""low-tier FMs"" in this systematic review protocol, satisfying this criterion.","FAIL - No standardized radiomics package named. Section ""2.1.1 Texture Feature Extraction"" (Page 6): ""Two texture algorithms for feature extraction were implemented: GLCM and Gabor. For GLCM, 11 features, namely contrast, correlation, energy, entropy, homogeneity, variance, sum of average, sum of variance, sum of entropy, difference of variance, and difference of entropy, were extracted from each of the ROI scans.""  and Section ""3.","PASS - Table 5 ""The performance of the 10-fold DT classifier on the features (original vs. selected) extracted using ResNet18, GLCM, and the Gabor wavelet filter"" (Page 14) reports separate metrics for the deep learning arm (ResNet-18) and the radiomics arm (GLCM) on the same cohort evaluated using a 10-fold decision tree classifier:","PASS - Modality: Pelvic MRI (DWI/ADC/T2). Year: 2024. Section ""4. Dataset"" (Page 9): ""The dataset comprised multiple de-identified gray-level MRI scans of lymph nodes, obtained using a varied range of diffusion-weighted image (DWI) contrast types from a prospective clinical trial of 15 high-risk (Gleason 8) prostate cancer patients.""  and Title Page (Page 1): ""Biomedicines 2024, 12, 2345... Published: 15 October 2024.""","The study is excluded because the radiomics feature extraction was performed using MATLAB R2021b without utilizing any of the standardized radiomics software packages (such as PyRadiomics, MIRP, CERR, IBEX, LIFEx, or MaZda) required by Criterion 2."
15,39520166,Pneumonia detection on chest X-rays from Xception-based transfer learning and logistic regression.,2024,"Compares Xception/VGG-16 transfer learning features (ImageNet, low-tier FM) vs hand-crafted features, but hand-crafted feature set's texture-family composition not specified.",https://pubmed.ncbi.nlm.nih.gov/39520166,EXCLUDE,,"PASS - Xception, VGG-16, Inception-V3, DenseNet-169, and NASNetMobile (ImageNet-supervised low-tier FMs). Abstract (Page 1): ""Contrary to traditional machine learning models that required hand-crafted features, this study uses transfer learning for automatic feature extraction using Xception and VGG-16 to train classifiers..."" and Section 3.7 ""Inception-V3"" (Page 8): ""Inception-V3  is a 48-layer deep convolutional neural network (CNN) model that has already been trained on millions of images in the ImageNet database..."" Standard ImageNet-supervised CNNs qualify as ""low-tier FMs"" under this protocol.","FAIL - Unspecified handcrafted features and no standardized radiomics package. Abstract (Page 1): ""Experiments involve the use of hand-crafted features, as well as, transfer learning-based feature extraction for pneumonia detection."" and Section 1 ""Introduction"" (Page 3): ""In this study, we used both hand-crafted features and automatic transfer learning feature extraction to train the machine learning classifiers."" The text does not identify any standardized radiomics software packages (such as PyRadiomics, MIRP, CERR, IBEX, LIFEx, or MaZda) or mention any specific texture-feature families (such as GLCM, GLRLM, GLSZM, NGTDM, or NGLDM) extracted for the baseline handcrafted/original feature arm.","PASS - Table 3 ""Performance of various machine learning classifiers using original features"" (Page 13) and Table 8 ""Performance of various classifiers using features from Xception model"" (Page 17) report separate metrics on the same 780-image test set:","PASS - Chest X-ray, 2024. Section 1 ""Introduction"" (Page 3): ""Among the various ways of diagnosing pneumonia, investigating chest X-rays is the most commonly used."" and Title Page (Page 1): ""Technology and Health Care 32 (2024) 3847-3870... Received 27 March 2023, Accepted 31 March 2024.""","The study is excluded because the hand-crafted baseline arm does not use a recognized, standardized radiomics package or explicitly extract any specified texture-feature families (such as GLCM or GLSZM) as required by Criterion 2."
16,39809603,Integration of Deep Learning and Sub-regional Radiomics Improves the Prediction of Pathological Complete Response to Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer Patients.,2025,"SRADL combines PyRadiomics + 3D ResNet50 deep learning on same LARC cohort with claimed superiority over single-modality models, but specific separate radiomics-only vs DL-only AUCs and foundation model pretraining scale not specified.",https://pubmed.ncbi.nlm.nih.gov/39809603,EXCLUDE,,"FAIL - 3D ResNet50. Section ""Materials and Methods"" (Abstract, Page 1): ""Radiomics and deep learning features were extracted by the Pyradiomics and 3D ResNet50, respectively.""  The paper does not specify any pretraining details, initialization, or transfer learning weights (such as ImageNet or Kinetics) for the 3D ResNet50 model , meaning it cannot be verified as a pretrained foundation model.","UNCLEAR - Pyradiomics (version 2.11). Section ""METHODS"" (Page 5): ""Radiomics and deep learning features were extracted by the Pyradiomics (version 2.11) and 3D- ResNet algorithm using the Python (version 3.7) (Supplemental Files Appendix 4 and 5) (18,19).""  While the Pyradiomics package is explicitly named, no specific texture-feature families (such as GLCM, GLRLM, GLSZM, NGTDM, or NGLDM) are mentioned or quoted in the main text of the paper , as the feature details are delegated to the Supplemental Files.","PASS - Table 2 ""Performance Evaluation of Different Predictive Models"" (Page 7) reports separate metrics for the ""Deep learning"" (DL-only) and ""Radiomics"" (radiomics-only) arms on the same cohort (e.g., Test 1 and Test 2) :","PASS - Pelvic MRI (T2-weighted), 2025. Title Page (Page 1): ""Acad Radiol 2025; 32:3384-3396""  and Section ""METHODS"" (Page 2): ""Pretreatment pelvic MRI scans (T2-weighted), were collected for annotation and feature extraction.""","The study is excluded because the deep learning arm uses a 3D ResNet50 model with no specified pretraining on at least 100,000 images, and the main text lacks explicit documentation of the extracted texture-feature families, delegating feature details to the supplemental files."
17,40360672,An MRI-based deep transfer learning radiomics nomogram for predicting meningioma grade.,2025,"Reports separate radiomics, DTL, and clinical model performances but pretrained foundation model identity not specified (generic 'deep transfer learning').",https://pubmed.ncbi.nlm.nih.gov/40360672,EXCLUDE,,"PASS - ResNet50 (ImageNet-supervised low-tier FM). Section ""DTL feature extraction"" (Page 3 of the PDF): ""We utilized ResNet50, a well-established pretrained CNN model, to fine-tune the model and extract DTL features for our analysis."" and Section ""Introduction"" (Page 1 of the PDF): ""DTL involves training a pretrained model on a vast dataset, such as ImageNet, to recognize diverse image features."" Standard ImageNet-supervised CNNs are classified as low-tier foundation models under this protocol, satisfying this criterion.","FAIL - Unspecified radiomics package. Section ""Radiomics feature extraction"" (Page 2 of the PDF) starts describing the extraction process but cuts off mid-sentence: ""Two neuroradiologists with ten and twenty years of experience independently drew the ROIs of 20 randomly chosen meningiomas to calculate the intraclass correlation coefficient (ICC) of radiomics features. In cases where discrepancies arose between their segmentations, a consensus process was implemented. Specifically, both neuroradiologists reviewed the discrepant segmentations together and discussed the differences until they"". No standardized radiomics package (such as PyRadiomics, MIRP, CERR, IBEX, LIFEx, or MaZda) is named in the text. While Figure 3A (Page 6) shows final selected features from texture families, such as ""R392ZoneEntropy"" (GLSZM family) and ""R1046Busyness"" (NGTDM family), the lack of package naming fails this criterion.","Table 3 ""The results of clinical model, DTL model and DTLR nomogram"" (Page 8 of the PDF) reports separate test performance metrics for both the deep learning (DTL model) and radiomics (Radiomics model) arms on the same 102-subject test set:

DL-only arm (DTL model): ""AUC (95% CI): 0.745 (0.6890-0.8712)"", ""Accuracy: 0.703""

Radiomics-only arm (Radiomics model): ""AUC (95% CI): 0.805 (0.7211-0.8883)"", ""Accuracy: 0.784""","PASS - Brain T1-weighted MRI (enhanced T1WI), 2025. Title Page (Page 1 of the PDF): ""Scientific Reports (2025) 15:16614 | https://doi.org/10.1038/s41598-025-01665-0... Published 3 November 2025"" and Section ""Patients"" (Page 2 of the PDF): ""The inclusion criteria were (1) patients who underwent enhanced T1-weighted imaging prior to surgery...""","The study is excluded because the manuscript fails to identify the specific radiomics package used for feature extraction, and the text describing the radiomics extraction process cuts off mid-sentence."
18,40386715,Integrating radiomics and deep learning for enhanced prediction of high-grade patterns in stage IA lung adenocarcinoma.,2025,"Fusion XGBoost model combining 256 deep + 1836 handcrafted features outperforms separate radiomics and DL models, but individual arm AUCs and pretrained foundation model not specified in abstract.",https://pubmed.ncbi.nlm.nih.gov/40386715,INCLUDE,,"PASS - ResNet101 (ImageNet-pretrained).

Model Name and Provenance: ResNet101 initialized with weights pretrained on the ImageNet database. While standard ImageNet-supervised convolutional neural networks are classified as ""low-tier"" foundation models, they satisfy this inclusion criterion.","PASS - PyRadiomics extracting GLCM, GLRLM, GLSZM, and NGTDM.

Package and Features: Handcrafted radiomic features extracted using the PyRadiomics library, including higher-order texture matrices: gray-level co-occurrence matrix (GLCM), gray-level run length matrix (GLRLM), gray-level size zone matrix (GLSZM), and neighborhood gray-tone difference matrix (NGTDM).","PASS - Separate discrimination metrics reported for each independent model arm on the same internal test cohort (n = 98).  

Quoted Metrics:

Section: ""Results - Table 2: Metrics on different models"" (Page 9) reports the following performance values on the same test cohort :","PASS - Computed Tomography (CT), English-language, published in 2025.

Modality & Year: Evaluates preoperative chest computed tomography (CT) scans of human patients with stage IA lung adenocarcinoma. The English-language manuscript was published online on April 15, 2025.","The study fully satisfies all inclusion criteria by utilizing an ImageNet-pretrained ResNet101 model and PyRadiomics-extracted texture features to evaluate a 2025 clinical chest CT cohort, explicitly reporting separate test set metrics for both the deep learning-only and radiomics-only arms."
19,40804402,A stacking ensemble framework integrating radiomics and deep learning for prognostic prediction in head and neck cancer.,2025,"Reports separate radiomics stacking (C-index 0.7324) and deep feature stacking (0.9319) arms on same HNC cohort using IBSI-compliant radiomics + 3D DenseNet-121 (likely ImageNet transfer, low-tier FM).",https://pubmed.ncbi.nlm.nih.gov/40804402,EXCLUDE,,"FAIL - 3D DenseNet-121 (no pretraining). The model was trained from scratch on the study's cohort rather than using a pretrained foundation model, and no pretraining provenance on a dataset of $\ge100,000$ images (or ImageNet) is mentioned.","PASS - PyRadiomics extracting GLCM, GLRLM, GLSZM, GLDM, and NGTDM.

Quoted Evidence:

Section: ""Methods - Image preprocessing and feature extraction"" (Page 4): ""For radiomics feature extraction, the open-source package PyRadiomics was utilized .""   

Figure 1: ""The entire experimental workflow..."" (Page 3) explicitly delineates the extracted texture families under the ""Radiomics"" pipeline stage: ""GLCM, GLRLM, GLSZM, GLDM, NGTDM"".","PASS - Separate C-index metrics are reported for the radiomics-only and deep learning-only arms on both the internal validation set ($n=133$) and the external validation set ($n=143$).  Quoted Evidence: Section: ""Results - Table 2: C-index of radiomics and deep learning models using PET and CT features on the external validation set"" (Page 7) reports the following metrics for the combined PET+CT modality:","PASS - $^{18}\text{F-FDG PET/CT}$ clinical human imaging, English-language, published in 2025.  Quoted Evidence:Section: ""Methods - Data collection"" (Page 2): ""This study utilized a multicenter dataset of 806 patients with histologically confirmed HNC, sourced from 5 datasets encompassing 9 centers, all of whom underwent pretreatment 18F-FDG PET/CT imaging.""   ","Although the study meets the criteria for PET/CT imaging, radiomic texture extraction, and separate per-arm reporting, it must be excluded because the deep learning arm utilizes a 3D DenseNet-121 model trained from scratch rather than a pretrained foundation model."
20,40815256,Ultrasonic Texture Analysis for Predicting Acute Myocardial Infarction.,2025,"Head-to-head handcrafted ultrasomics vs deep transfer learning features with separate AUCs, but pretrained foundation model identity and texture-feature families not specified in abstract.",https://pubmed.ncbi.nlm.nih.gov/40815256,MAYBE,,"UNCLEAR - Slow-Fast R50 (implied pretrained low-tier model, but dataset is not specified).

Model and Provenance: The study uses ""Slow-Fast R50"" via ""deep transfer-learning"" (DTL). Slow-Fast R50 is a 3D convolutional neural network (3D-CNN) typically pretrained on Kinetics-400 (which contains >100,000 videos), and the authors mention ""transfer learning from large ImageNet-trained models"" in the Discussion. However, the specific pretraining dataset or weights used for their model are not explicitly named or described in the text of the paper.  

Quoted Evidence:

Section: ""Deep Learning-Based Ultrasomics"" (Page 4): ""Similarly to ultrasomics, to evaluate deep transfer-learning radiomics (DTL) features, we compared 3 3-dimensional (3D) convolutional neural network (CNN)-based architectures: Slow-Fast R50, a channel-separated convolutional network, and a transformer-based model. Using transfer learning, features were captured from the final classification layer of these 3D-CNN architectures.""   

Section: ""Discussion"" (Page 11): ""CNNs are effective for medical image analysis and have shown promising results with transfer learning from large ImageNet-trained models.""","PASS - PyRadiomics extracting GLDM.

Package and Features: Handcrafted radiomic features are extracted using PyRadiomics, and a gray-level nonuniformity texture feature is extracted from the gray-level dependence matrix (GLDM). The specific features are further detailed in the Supplemental Methods.","PASS - Separate metrics are reported for HCR (handcrafted radiomics-only) and DTL (deep transfer learning-only) on the exact same internal validation cohorts (Sources A, B, C) and the Overall pooled cohort.  

Quoted Metrics:

Section: ""Results - Table 4: Performance of Machine Learning Models Developed Using a Leave-One-Source-Out Cross-Validation Approach"" (Page 7) :","PASS - Ultrasound (US / Echocardiography), English-language, published in 2025.

Modality & Year: Evaluates 2D echocardiograms (ultrasound) in an English-language paper published in November 2025.  

Quoted Evidence:

Section: ""Header"" (Page 1): ""JACC: CARDIOVASCULAR IMAGING VOL. 18. NO. 11, 2025"".  

Section: ""Abstract - Methods"" (Page 1): ""Handcrafted and deep transfer learning–based ultrasomics features from 2- and 4-chamber echocardiographic views were used..."".","The study meets the requirements for ultrasound imaging, PyRadiomics-extracted texture features, and separate per-arm reporting on the same cohort, but the pretraining provenance of its deep learning model (Slow-Fast R50) is not explicitly named or verified."
