PMID,Title,Year,AI_Verdict,AI_Reason,AI_Confidence,Human_Verdict,Human_Reason,Agreement,Final_Verdict,Modality,Notes
38985382,Radiomics incorporating deep features for predicting Parkinson's disease in (123)I-Ioflupane SPECT.,2024,MAYBE,"Reports separate radiomic (RaF), deep (DF), imaging (IF), and combined models with AUCs, but uses 2D DenseNet (likely ImageNet transfer, low-tier FM) rather than a named foundation model.",MED,,,,,,
40377781,Development and validation of clinical-radiomics deep learning model based on MRI for endometrial cancer molecular subtypes classification.,2025,MAYBE,"MoCo-v2 contrastive SSL (qualifying paradigm) and 386 handcrafted radiomics features used; radiomics model AUC reported separately, but pure DL-only arm vs fusion arm distinction unclear.",MED,,,,,,
38720675,"Ultrasound deep learning radiomics and clinical machine learning models to predict low nuclear grade, ER, PR, and HER2 receptor status in pure ductal carcinoma in situ.",2024,EXCLUDE,"Clinical ML uses BI-RADS descriptors not handcrafted radiomics; 'radiomics features' in DLR are actually RadImageNet deep features, so no handcrafted texture-feature comparator.",HIGH,,,,,,
40183953,Interpretable multimodal deep learning model for predicting post-surgical international society of urological pathology grade in primary prostate cancer.,2025,MAYBE,Multimodal fusion model combining PET/CT radiomics + clinical via deep transfer learning; appears fusion-only and pretrained foundation model identity unclear.,MED,,,,,,
39060962,Ultrasound-based deep learning radiomics nomogram for differentiating mass mastitis from invasive breast cancer.,2024,MAYBE,"Uses PyRadiomics (qualifying) and ResNet50 (likely ImageNet transfer, low-tier FM) with separate radiomics and deep learning model AUCs reported alongside fused DLRN.",MED,,,,,,
40883826,Fusion model integrating multi-sequence MRI radiomics and habitat imaging for predicting pathological complete response in breast cancer treated with neoadjuvant therapy.,2025,EXCLUDE,"Fusion model integrating radiomics + deep learning + habitat features; abstract reports only fused model AUC, no head-to-head paradigm comparison.",HIGH,,,,,,
37321358,A novel collaborative self-supervised learning method for radiomic data.,2023,EXCLUDE,Method-development paper proposing a novel SSL method for radiomic features; no head-to-head FM embedding vs handcrafted radiomics comparison on a clinical task.,HIGH,,,,,,
38016821,Constructing a Deep Learning Radiomics Model Based on X-ray Images and Clinical Data for Predicting and Distinguishing Acute and Chronic Osteoporotic Vertebral Fractures: A Multicenter Study.,2024,MAYBE,"Uses RadImageNet (qualifying FM) and ImageNet pretrained ResNet-50 fused with radiomics; abstract reports only fused DLR/DLRN AUCs, no clear pure radiomics-only arm.",MED,,,,,,
34817635,Computed tomography-based deep-learning prediction of induction chemotherapy treatment response in locally advanced nasopharyngeal carcinoma.,2022,MAYBE,"Head-to-head ResNet50/CNN deep features (ImageNet transfer, low-tier FM) vs handcrafted radiomics with separate AUCs on same NPC cohort.",MED,,,,,,
35923378,Deep Radiomics-based Approach to the Diagnosis of Osteoporosis Using Hip Radiographs.,2022,MAYBE,"Reports separate texture-only (AUC 0.77) and deep-only (AUC 0.92) arms on same cohort, but pretrained foundation model identity not specified in abstract.",MED,,,,,,
38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Predict Ki-67 Proliferation Index of Meningioma.,2024,MAYBE,"Reports separate clinical (0.746), radiomics (0.75), DTL (0.717), and DTLR nomogram (0.779) AUCs, but generic 'deep transfer learning' — foundation model identity unspecified.",MED,,,,,,
38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram for the Survival Prediction in Gallbladder Cancer.,2024,MAYBE,"Builds clinical, radiomics, and DenseNet121 deep learning signatures separately then integrates them; abstract reports only integrated model AUC, individual signature performance unclear.",MED,,,,,,
37832194,Deep learning-based radiomic nomogram to predict risk categorization of thymic epithelial tumors: A multicenter study.,2023,MAYBE,"Builds separate Rad_Sig (handcrafted) and DL_Sig (deep learning) and combined DLR_Sig signatures on same TET cohort, but pretrained foundation model identity not specified.",MED,,,,,,
39896390,Hybrid transformer-CNN and LSTM model for lung disease segmentation and classification.,2024,EXCLUDE,Custom hybrid LinkNet–LSTM/transformer-CNN architecture for segmentation/classification; no qualifying pretrained foundation model and no handcrafted radiomics with required texture families.,HIGH,,,,,,
38807039,Deep learning for risk stratification of thymoma pathological subtypes based on preoperative CT images.,2024,MAYBE,"Reports separate radiomic (AUC 0.773/0.769), 2D deep (0.981/0.760), and 3D deep (0.998/0.893) arms on same cohort, but pretrained foundation model identity not specified.",MED,,,,,,
40386715,Integrating radiomics and deep learning for enhanced prediction of high-grade patterns in stage IA lung adenocarcinoma.,2025,MAYBE,"Fusion XGBoost model combining 256 deep + 1836 handcrafted features outperforms separate radiomics and DL models, but individual arm AUCs and pretrained foundation model not specified in abstract.",MED,,,,,,
36212443,Computed tomography-based deep-learning prediction of lymph node metastasis risk in locally advanced gastric cancer.,2022,MAYBE,"Head-to-head pretrained ResNet50 deep features (AUC 0.796, ImageNet transfer, low-tier FM) vs handcrafted radiomics (0.704) on same gastric cancer cohort.",MED,,,,,,
38304572,Deep learning radiomics model based on PET/CT predicts PD-L1 expression in non-small cell lung cancer.,2024,MAYBE,"Reports separate radiomics (0.829/0.785), DL (0.935/0.867), and fusion (0.954/0.910) arms on same PET/CT cohort, but pretrained foundation model identity not specified.",MED,,,,,,
38154327,Self-supervised tumor segmentation and prognosis prediction in osteosarcoma using multiparametric MRI and clinical characteristics.,2024,EXCLUDE,"Self-supervised pretraining via MPFCLR on study's small unlabeled cohort (~136 patients) — not a >=100k-image pretrained foundation model; focus is segmentation, not paradigm comparison.",HIGH,,,,,,
32941954,Computed tomography-based deep-learning prediction of neoadjuvant chemoradiotherapy treatment response in esophageal squamous cell carcinoma.,2021,MAYBE,"Head-to-head pretrained ResNet50 deep features (AUC 0.805, ImageNet transfer, low-tier FM) vs handcrafted radiomics (0.725) on same ESCC cohort.",MED,,,,,,
37448515,Multi-view radiomics and deep learning modeling for prostate cancer detection based on multi-parametric MRI.,2023,MAYBE,"Swin Transformer (potentially qualifying FM via natural-image transfer learning) with multi-view radiomics (LoG, wavelet); separate radiomics and DL models built and compared on same cohort.",MED,,,,,,
35562596,Deep learning combined with radiomics for the classification of enlarged cervical lymph nodes.,2022,EXCLUDE,"Only 5 'traditional radiomic features' extracted via neural network activation (not handcrafted PyRadiomics-style with texture families) and only combined discrimination model evaluated, no separate paradigm AUCs.",HIGH,,,,,,
38746679,A hybrid deep learning scheme for MRI-based preliminary multiclassification diagnosis of primary brain tumors.,2024,EXCLUDE,Hybrid scheme uses DenseNet121 deep features + LightGBM classifier; no handcrafted radiomics comparator described.,HIGH,,,,,,
33973065,Augmenting Transfer Learning with Feature Extraction Techniques for Limited Breast Imaging Datasets.,2021,EXCLUDE,Multi-level transfer learning with feature extraction techniques for DBT classification; no handcrafted radiomics with texture features as comparator.,HIGH,,,,,,
34517530,Deep learning and radiomics analysis for prediction of placenta invasion based on T2WI.,2021,MAYBE,"NDRC nomogram combines 93 radiomics + 128 deep features and claims to outperform 'radiomics alone' and 'deep learning alone' methods, but specific separate-arm AUCs and foundation model identity not specified.",MED,,,,,,
39881111,MRI-based deep learning radiomics to differentiate dual-phenotype hepatocellular carcinoma from HCC and intrahepatic cholangiocarcinoma: a multicenter study.,2025,MAYBE,"Reports separate radiomics, DTL (VGG19, ImageNet transfer, low-tier FM), and fusion models with macro-AUCs on same multicenter HCC cohort.",MED,,,,,,
38871552,Multi-feature Fusion Network on Gray Scale Ultrasonography: Effective Differentiation of Adenolymphoma and Pleomorphic Adenoma.,2024,MAYBE,"Reports separate Clinic, Rad, DTL (ResNet50, ImageNet transfer, low-tier FM), DLR, and DLRN AUCs on same parotid tumor cohort.",MED,,,,,,
40217563,Novel CT radiomics models for the postoperative prediction of early recurrence of resectable pancreatic adenocarcinoma: A single-center retrospective study in China.,2025,MAYBE,"Reports separate clinical, radiomics (AUC 0.722), and deep-radiomics (0.895) models on same PDAC cohort, but 'deep-radiomics' may be fusion and pretrained foundation model identity not specified.",MED,,,,,,
35834442,Feature-level ensemble approach for COVID-19 detection using chest X-ray images.,2022,MAYBE,"Feature-level ensemble compares local, radiomic, and deep features (pretrained CNN, likely ImageNet transfer); separate arms reported on COVID-19 CXR classification.",MED,,,,,,
35726100,Deep-learning-based 3D super-resolution MRI radiomics model: superior predictive performance in preoperative T-staging of rectal cancer.,2023,EXCLUDE,Compares two radiomics models (HR vs super-resolved MRI) — both are handcrafted radiomics; deep learning used only for super-resolution preprocessing not as a paradigm comparator.,HIGH,,,,,,
40882615,Deep Learning Radiomics Model Based on Computed Tomography Image for Predicting the Classification of Osteoporotic Vertebral Fractures: Algorithm Development and Validation.,2025,MAYBE,"Uses RadImageNet (qualifying FM) + ImageNet pretrained ResNet-50 fused with radiomics; abstract reports only fused model AUCs, no separate pure-radiomics arm clearly given.",MED,,,,,,
34765542,Deep Learning Radiomics to Predict Regional Lymph Node Staging for Hilar Cholangiocarcinoma.,2021,EXCLUDE,"Radiomic + DL features + clinical integrated into single SVM classifier; only combined classifier AUC reported, no head-to-head paradigm comparison.",HIGH,,,,,,
41225984,"Machine Learning in MRI Brain Imaging: A Review of Methods, Challenges, and Future Directions.",2025,EXCLUDE,Narrative review of ML methods in brain MRI — not an original peer-reviewed research article.,HIGH,,,,,,
39520166,Pneumonia detection on chest X-rays from Xception-based transfer learning and logistic regression.,2024,MAYBE,"Compares Xception/VGG-16 transfer learning features (ImageNet, low-tier FM) vs hand-crafted features, but hand-crafted feature set's texture-family composition not specified.",LOW,,,,,,
41030436,Integrating deep learning features from mammography with SHAP values for a machine learning model predicting over 5-year recurrence of breast ductal carcinoma In Situ post-lumpectomy.,2025,EXCLUDE,Only GBM model AUC reported; abstract conflates 'mammographic' and 'deep learning' features and provides no separate radiomics vs DL paradigm comparison.,MED,,,,,,
40951530,Hepatocellular Carcinoma Risk Stratification for Cirrhosis Patients: Integrating Radiomics and Deep Learning Computed Tomography Signatures of the Liver and Spleen into a Clinical Model.,2025,EXCLUDE,"aMAP-CT model integrates radiomics + ResNet-18 deep features into single clinical signature; only fused model AUCs reported, no head-to-head paradigm comparison.",HIGH,,,,,,
37129296,Novel radiomic features versus deep learning: differentiating brain metastases from pathological lung cancer types in small datasets.,2023,MAYBE,"Clear head-to-head comparison of novel handcrafted radiomics (LoG, wavelet) vs EfficientNet/ResNet transfer learning (ImageNet, low-tier FM) on same brain metastases MRI dataset with separate sensitivity/specificity/accuracy.",MED,,,,,,
38935330,Preoperative CT-based radiomics and deep learning model for predicting risk stratification of gastric gastrointestinal stromal tumors.,2024,MAYBE,"Uses PyRadiomics + pretrained ResNet50 (ImageNet transfer, low-tier FM) on same gastric GIST cohort, but abstract emphasizes combined model AUCs and separate radiomics-only vs DL-only arm performances unclear.",MED,,,,,,
39809603,Integration of Deep Learning and Sub-regional Radiomics Improves the Prediction of Pathological Complete Response to Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer Patients.,2025,MAYBE,"SRADL combines PyRadiomics + 3D ResNet50 deep learning on same LARC cohort with claimed superiority over single-modality models, but specific separate radiomics-only vs DL-only AUCs and foundation model pretraining scale not specified.",MED,,,,,,
37238180,Deep versus Handcrafted Tensor Radiomics Features: Prediction of Survival in Head and Neck Cancer Using Machine Learning and Fusion Techniques.,2023,MAYBE,"Explicit head-to-head deep vs handcrafted radiomics comparison on same HNC cohort with separate accuracies, but uses 3D autoencoder for deep features and pretraining scale (>=100k images) not specified.",MED,,,,,,
36976511,A Novel Deep-Learning-Based CADx Architecture for Classification of Thyroid Nodules Using Ultrasound Images.,2023,EXCLUDE,Custom CADx that combines pretrained deep features with morphological/texture features into single classifier; no head-to-head paradigm comparison with separate metrics.,HIGH,,,,,,
37148352,Development and validation of a deep learning radiomics nomogram for preoperatively differentiating thymic epithelial tumor histologic subtypes.,2023,MAYBE,Transformer-based CNN deep features compared against radiomics signature and clinical model on same TET cohort; pretraining scale and foundation model identity unspecified.,MED,,,,,,
37015120,Survival Analysis for Multimode Ablation Using Self-Adapted Deep Learning Network Based on Multisource Features.,2024,EXCLUDE,"Combines MRI radiomics + vision transformer DL + immune features in single deep Cox mixture; only fused C-index reported, no head-to-head paradigm comparison.",HIGH,,,,,,
37495426,Development and Validation of a Feature-Based Broad-Learning System for Opportunistic Osteoporosis Screening Using Lumbar Spine Radiographs.,2024,MAYBE,"Head-to-head BLS models: radiomic-feature BLS (AUC 0.802) vs ResNet18 (0.654) and VGG11 (0.632) deep features (ImageNet transfer, low-tier FM) on same lumbar X-ray cohort.",MED,,,,,,
40804402,A stacking ensemble framework integrating radiomics and deep learning for prognostic prediction in head and neck cancer.,2025,MAYBE,"Reports separate radiomics stacking (C-index 0.7324) and deep feature stacking (0.9319) arms on same HNC cohort using IBSI-compliant radiomics + 3D DenseNet-121 (likely ImageNet transfer, low-tier FM).",MED,,,,,,
37822044,Identifying primary tumor site of origin for liver metastases via a combination of handcrafted and deep learning features.,2024,EXCLUDE,Histopathology/pathomics study using nuclear morphology and cytoplasm texture features on WSIs — not handcrafted radiology radiomics and DL model identity/pretraining scale not specified.,HIGH,,,,,,
41944974,Medical image pretraining-based transfer learning for generalizable and robust diagnosis of bone tumors on radiographs: a multi-center study.,2026,INCLUDE,Head-to-head comparison of RadImageNet-pretrained ResNet50 (qualifying FM) vs ImageNet-pretrained DL vs ElasticNet radiomics on same multi-center bone tumor cohort with separate external-test AUCs.,HIGH,CONFIRMED INCLUDE,,,,,
38627828,Deep learning radiomics-based prediction model of metachronous distant metastasis following curative resection for retroperitoneal leiomyosarcoma: a bicentric study.,2024,MAYBE,"Reports separate radiomics signature (AUC 0.733), DLRS (0.822), and DLRN (0.786) on same RLS cohort, but DLRS itself fuses radiomics + DL features and CNN foundation model identity not specified.",MED,,,,,,
35037985,A deep learning radiomics model may help to improve the prediction performance of preoperative grading in meningioma.,2022,MAYBE,"Reports separate radiomics model (test AUC 0.918), deep learning model (0.718), and combined DLRM (0.935) on same meningioma cohort, but foundation model identity not specified.",MED,,,,,,
37922655,A hybrid few-shot multiple-instance learning model predicting the aggressiveness of lymphoma in PET/CT images.,2024,MAYBE,"Rotation-based SSL on DeepLesion CT dataset (~32k images, below 100k threshold) combined with PET radiomics in hybrid few-shot MIL; compares against radiomics-only counterpart with separate accuracies.",LOW,,,,,,
34487493,Feature Fusion for Diagnosis of Atypical Hepatocellular Carcinoma in Contrast- Enhanced Ultrasound.,2022,EXCLUDE,Fusion-only method combining V-SDMLBP hand-crafted features with 3D-CNN deep features; no head-to-head paradigm comparison with separate AUCs.,HIGH,,,,,,
38578874,CT-based intratumoral and peritumoral deep transfer learning features prediction of lymph node metastasis in non-small cell lung cancer.,2024,MAYBE,"Explicit head-to-head HR (AUC 0.841/0.812) vs DTL (0.955/0.893) comparison on same NSCLC cohort, but DTL pretrained foundation model identity not specified.",MED,,,,,,
36879285,Differentiation of acute and chronic vertebral compression fractures using conventional CT based on deep transfer learning features and hand-crafted radiomics features.,2023,MAYBE,"Reports separate DLR (AUC 0.992/0.871), HCR (0.973/0.854), and fusion (0.997/0.915) arms on same VCF CT cohort, but pretrained foundation model identity not specified.",MED,,,,,,
40411546,Evaluation of locoregional invasiveness of early lung adenocarcinoma manifesting as ground-glass nodules via [(68)Ga]Ga-FAPI-46 PET/CT imaging.,2025,EXCLUDE,"MedSAM used only for segmentation, not feature extraction; only radiomics features (plus SUVmax) drive classification — no FM embedding vs radiomics paradigm comparison.",HIGH,,,,,,
38622546,"Ultrasound-based deep learning radiomics model for differentiating benign, borderline, and malignant ovarian tumours: a multi-class classification exploratory study.",2024,MAYBE,"Reports separate Rad_Sig, DTL_Sig, Clinic_Sig, and DLR_Sig multiclass AUCs on same ovarian US cohort, but pretrained CNN foundation model identity not specified.",MED,,,,,,
40770139,Deep learning-based radiomics does not improve residual cancer burden prediction post-chemotherapy in LIMA breast MRI trial.,2026,EXCLUDE,Compares deep radiomics from segmentation networks vs simple tumor volume/subtype clinical predictors; no handcrafted radiomics comparator arm.,HIGH,,,,,,
36376154,"Comparison of Traditional Radiomics, Deep Learning Radiomics and Fusion Methods for Axillary Lymph Node Metastasis Prediction in Breast Cancer.",2023,MAYBE,"Explicit comparison of traditional radiomics vs DL radiomics vs fusion models on same DCE-MRI breast cancer cohort, but pretrained foundation model identity not specified.",MED,,,,,,
41253608,Integrating Deep Feature Extraction and MRI Radiomics for Survival Prediction in Breast Cancer After Neoadjuvant Chemotherapy.,2026,MAYBE,"Multimodal Cox model integrating mpMRI radiomics + ResNet50 deep features (ImageNet transfer, low-tier FM) with claimed superiority over unidimensional models, but individual arm AUCs and pathology-vs-radiology paradigm clarity limited.",LOW,,,,,,
40917929,Nomogram Model for Identifying the Risk of Coronary Heart Disease in Patients with Chronic Obstructive Pulmonary Disease Based on Deep Learning Radiomics and Clinical Data: A Multicenter Study.,2025,MAYBE,"Reports separate clinical, radiomics (0.752/0.666), DLR (0.767/0.732), and nomogram AUCs on same COPD cohort using ResNet50 (ImageNet transfer, low-tier FM).",MED,,,,,,
37432527,A transfer learning approach on MRI-based radiomics signature for overall survival prediction of low-grade and high-grade gliomas.,2023,EXCLUDE,Transfer learning applied only to radiomics features (GBM->LGG); no deep learning/foundation model embedding arm as a paradigm comparator.,HIGH,,,,,,
35810561,Prediction of lung malignancy progression and survival with machine learning based on pre-treatment FDG-PET/CT.,2022,MAYBE,"RSF models compare CNN deep features vs radiomics features for OS prediction on same FDG-PET/CT cohort with reportedly 'comparable' performance, but separate-arm C-indices and pretrained FM identity not specified.",MED,,,,,,
35032039,Deep learning-based AI model for signet-ring cell carcinoma diagnosis and chemotherapy response prediction in gastric cancer.,2022,EXCLUDE,AI model integrates clinical + handcrafted radiomics + DL features into single model; only combined AUC (0.786) reported with no head-to-head paradigm comparison.,HIGH,,,,,,
38939344,Multiparametric MRI-based radiomics approach with deep transfer learning for preoperative prediction of Ki-67 status in sinonasal squamous cell carcinoma.,2024,MAYBE,"Reports separate RS-HC, RS-DTL (ResNet50, ImageNet transfer, low-tier FM), and RS-DLR AUCs on same SNSCC cohort.",MED,,,,,,
40338065,An Integrated Model Combined Conventional Radiomics and Deep Learning Features to Predict Early Recurrence of Hepatocellular Carcinoma Eligible for Curative Ablation: A Multicenter Cohort Study.,2025,EXCLUDE,"DLRR combines 3D ResNet-18 + PyRadiomics features; only combined model AUCs reported, no separate paradigm-arm performance.",MED,,,,,,
38796795,Deep learning nomogram for predicting neoadjuvant chemotherapy response in locally advanced gastric cancer patients.,2024,MAYBE,Nomogram combines handcrafted radiomics + EfficientNet V2 DL features; handcrafted signature reported separately but DL-only arm AUC not explicit and EfficientNet V2 pretraining scale not specified.,MED,,,,,,
41219899,Predicting breast cancer response to neoadjuvant therapy by integrating radiomic and deep-learning features from early-and-peak phases of DCE-MRI.,2025,MAYBE,"Reports radiomics-only combined-phase model and enhanced RD_EP (radiomics + 3D DL) on same breast NAT cohort, but pure 3D DL-only arm AUC and foundation model identity not specified.",MED,,,,,,
36686755,Deep learning radiomic analysis of DCE-MRI combined with clinical characteristics predicts pathological complete response to neoadjuvant chemotherapy in breast cancer.,2022,MAYBE,Builds RS1 and RS2 radiomic signatures fusing handcrafted + DL features; pure handcrafted vs pure DL paradigm arms not reported separately and DL model identity unspecified.,LOW,,,,,,
39412688,One novel transfer learning-based CLIP model combined with self-attention mechanism for differentiating the tumor-stroma ratio in pancreatic ductal adenocarcinoma.,2024,INCLUDE,"CLIP-adapter (CLIP is a qualifying VLM foundation model pretrained on 400M image-text pairs) compared head-to-head against traditional radiomics, ResNet50/101, and ViT models on same PDAC cohort with separate AUCs.",HIGH,CONFIRMED INCLUDE,,,,,
42122083,Handcrafted Versus Deep Feature Extraction Methods for MRI-Based Multiple Sclerosis Diagnosis.,2026,MAYBE,"Explicit handcrafted (Gradient-DDP texture) vs CLIP (qualifying VLM FM) comparison on same MS MRI cohort, but DDP is a custom local descriptor that may not satisfy required radiomics texture-feature families (GLCM/GLRLM/GLSZM/NGTDM).",LOW,,,,,,
37460894,"MRI radiomics for brain metastasis sub-pathology classification from non-small cell lung cancer: a machine learning, multicenter study.",2023,MAYBE,"Radiomics model (Xgboost, AUC 0.85/0.80) compared with 3D CNN trained via transfer learning on same NSCLC brain metastases cohort, but 3D CNN arm AUC and foundation model identity not clearly reported.",LOW,,,,,,
36437909,Optimal Ensemble learning model for COVID-19 detection using chest X-ray images.,2023,EXCLUDE,Texture features are LBP/LVP (custom local descriptors) not GLCM/GLRLM/GLSZM/NGTDM radiomics families; combined ensemble without head-to-head paradigm AUCs.,HIGH,,,,,,
38293188,Automating the Human Connectome Project's Temporal ICA Pipeline.,2024,EXCLUDE,fMRI temporal ICA denoising pipeline development; not a clinical prediction task comparing FM embeddings vs handcrafted radiomics.,HIGH,,,,,,
40002836,Streamlit Application and Deep Learning Model for Brain Metastasis Monitoring After Gamma Knife Treatment.,2025,EXCLUDE,AlexNet transfer learning for brain metastasis monitoring; no handcrafted radiomics comparator arm.,HIGH,,,,,,
37444526,Novel Multiparametric Magnetic Resonance Imaging-Based Deep Learning and Clinical Parameter Integration for the Prediction of Long-Term Biochemical Recurrence-Free Survival in Prostate Cancer after Radical Prostatectomy.,2023,MAYBE,"Reports separate clinical, radiomics, DL (EfficientNet-B0, ImageNet transfer, low-tier FM), CRM-Multi, and CDLM-Deep feature Cox model hazard ratios on same PCa post-RP BCR cohort.",MED,,,,,,
37083973,Deep learning-based overall survival prediction model in patients with rare cancer: a case study for primary central nervous system lymphoma.,2023,MAYBE,"3D ResNet OS prediction compared against ML-based clinical and radiomics models on same PCNSL cohort, but separate radiomics-only AUC and pretrained FM identity/pretraining scale not specified.",MED,,,,,,
39457657,A Transfer Learning-Based Framework for Classifying Lymph Node Metastasis in Prostate Cancer Patients.,2024,MAYBE,"Head-to-head pretrained ResNet-18 features (ImageNet transfer, low-tier FM, acc 76.19%) vs GLCM (61.90%) and Gabor (65.08%) texture features on same prostate LN MRI cohort.",MED,,,,,,
39238891,A Deep Learning Based Intelligent Decision Support System for Automatic Detection of Brain Tumor.,2024,EXCLUDE,CNN/VGG transfer learning models for brain tumor detection; no handcrafted radiomics comparator arm.,HIGH,,,,,,
39144023,Fusion of shallow and deep features from (18)F-FDG PET/CT for predicting EGFR-sensitizing mutations in non-small cell lung cancer.,2024,MAYBE,"Reports separate PyRadiomics-only (ONLY_TRAD, AUC 0.68) vs ResNet deep+shallow combined (RES_TRAD, AUC 0.94) on same NSCLC PET/CT cohort, but DL arm is fused with radiomics rather than pure DL-only and ResNet pretraining is ImageNet transfer (low-tier FM).",LOW,,,,,,
38724768,Longitudinal ultrasound-based AI model predicts axillary lymph node response to neoadjuvant chemotherapy in breast cancer: a multicenter study.,2024,EXCLUDE,"Pre-NAC and post-NAC models each combine radiomics + DL features; comparison is temporal (pre vs post NAC) and with sonographer's diagnosis, not a paradigm comparison of FM vs handcrafted radiomics.",MED,,,,,,
38235385,MRI radiomics-based decision support tool for a personalized classification of cervical disc degeneration: a two-center study.,2023,EXCLUDE,"MedSAM is used only for segmentation, not feature extraction; only handcrafted radiomics is used for prediction — no FM embedding paradigm arm.",HIGH,,,,,,
37125408,Homogenization of multi-institutional chest x-ray images in various data transformation schemes.,2023,EXCLUDE,Multi-institutional image harmonization analysis using radiomic/deep features as diagnostic of homogeneity; not a clinical prediction task comparing FM vs handcrafted radiomics arms.,HIGH,,,,,,
39974018,End-to-end prediction of clinical outcomes in head and neck squamous cell carcinoma with foundation model-based multiple instance learning.,2025,INCLUDE,Explicit FM-based MIL vs handcrafted radiomics head-to-head comparison on 2485-patient HNSCC CT cohort with separate AUROCs for OS/LRC/FFDM endpoints.,HIGH,EXCLUDE,,,,,
40771387,Integrating multimodal ultrasound imaging for improved radiomics sentinel lymph node assessment in breast cancer.,2025,MAYBE,"Reports separate ONLY_HF (AUC 0.792/0.765/0.739) and ONLY_DF (0.781/0.748/0.717) and COMB arms on same BC ultrasound cohort, but MobileNetV2 is ImageNet transfer (low-tier FM).",MED,,,,,,
35874855,A Deep Learning and Handcrafted Based Computationally Intelligent Technique for Effective COVID-19 Detection from X-ray/CT-scan Imaging.,2022,EXCLUDE,"Hybrid feature extraction fusing ResNet101+DenseNet201 deep features with WLD handcrafted features; only fused model evaluated, no head-to-head paradigm comparison and handcrafted features are not standard radiomics texture families.",HIGH,,,,,,
33596552,Computer-aided diagnosis of ground glass pulmonary nodule by fusing deep learning and radiomics features.,2021,MAYBE,"DNN model and CT radiomics model and fusion model on same GGN cohort with fusion AUC 0.73, but separate paradigm arm AUCs not specified in abstract and DNN uses custom 3D U-Net transfer learning (FM identity unclear).",MED,,,,,,
40371075,Prediction of prognosis in acute ischemic stroke after mechanical thrombectomy based on multimodal MRI radiomics and deep learning.,2025,MAYBE,"Reports separate clinical, radiomics (0.755/0.805), deep learning (ResNet101 transfer learning, 0.689/0.757), and CRD AUCs on same AIS MRI cohort; ResNet101 is ImageNet transfer (low-tier FM).",MED,,,,,,
41008824,Predicting Immunotherapy-Induced Pneumonitis Based on Chest CT and Non-Imaging Data.,2025,EXCLUDE,"Combined multimodal model uses ViT deep + radiomics + clinical features; only combined model AUC (0.895) reported, no head-to-head paradigm comparison.",MED,,,,,,
